timestamp,name,rssi
2013-05-25 11:18:21.532000,Wave Y,-98
2013-05-25 11:18:24.141000,Mother,-88
2013-05-25 11:19:20.978000,Mother,-108
2013-05-25 11:20:24.448000,Mother,-85
2013-05-25 11:21:24.887000,Mother,-83
2013-05-25 11:22:20.733000,Mother,-102
2013-05-25 11:22:23.535000,Wave Y,-102
2013-05-25 11:23:27.081000,Mother,-74
2013-05-25 11:24:22.887000,Wave Y,-97
2013-05-25 11:24:29.530000,Mother,-75
2013-05-25 11:25:21.398000,Mother,-74
2013-05-25 11:26:24.937000,Mother,-75
2013-05-25 11:26:26.862000,Wave Y,-100
2013-05-25 11:26:27.411000,Wave Y,-98
2013-05-25 11:27:20.566000,Mother,-105
2013-05-25 11:27:59.281000,Mother,-73
2013-05-25 11:28:57.278000,Mother,-89
2013-05-25 11:28:57.968000,Wave Y,-98
2013-05-25 11:29:55.693000,Mother,-95
2013-05-25 11:29:56.069000,Wave Y,-98
2013-05-25 11:30:57.053000,Wave Y,-98
2013-05-25 11:30:57.060000,Mother,-82
2013-05-25 11:31:58.519000,Wave Y,-95
2013-05-25 11:31:59.077000,Mother,-91
2013-05-25 11:32:56.356000,Mother,-88
2013-05-25 11:32:58.723000,Wave Y,-95
2013-05-25 11:34:04.277000,Mother,-81
2013-05-25 11:34:55.516000,Wave Y,-96
2013-05-25 11:34:57.748000,Mother,-88
2013-05-25 11:35:56.064000,Wave Y,-98
2013-05-25 11:35:56.457000,Mother,-80
2013-05-25 11:36:58.241000,Wave Y,-101
2013-05-25 11:36:59.518000,Wave Y,-100
2013-05-25 11:37:04.329000,Mother,-89
2013-05-25 11:37:55.852000,Wave Y,-101
2013-05-25 11:37:56.692000,Mother,-87
2013-05-25 11:38:56.406000,Wave Y,-99
2013-05-25 11:38:59.275000,Mother,-87
2013-05-25 11:39:57.516000,Mother,-88
2013-05-25 11:39:58.821000,Wave Y,-96
2013-05-25 11:40:56.432000,Mother,-88
2013-05-25 11:41:04.137000,Wave Y,-98
2013-05-25 11:41:58.031000,Mother,-87
2013-05-25 11:41:58.613000,Wave Y,-97
2013-05-25 11:42:55.578000,Mother,-91
2013-05-25 11:42:56.327000,Mother,-87
2013-05-25 11:42:59.386000,Wave Y,-97
2013-05-25 11:43:59.609000,Mother,-87
2013-05-25 11:44:59.848000,Mother,-91
2013-05-25 11:45:57.291000,Mother,-96
2013-05-25 11:46:03.064000,Mother,-94
2013-05-25 11:46:56.255000,Wave Y,-99
2013-05-25 11:46:57.055000,Mother,-99
2013-05-25 11:47:59.265000,Mother,-89
2013-05-25 11:48:57.872000,Wave Y,-98
2013-05-25 11:48:59.230000,Mother,-87
2013-05-25 11:49:57.663000,Mother,-87
2013-05-25 11:49:58.106000,Wave Y,-100
2013-05-25 11:50:57.002000,Wave Y,-100
2013-05-25 11:50:57.774000,Mother,-88
2013-05-25 11:51:58.433000,Mother,-84
2013-05-25 11:52:59.689000,Mother,-85
2013-05-25 11:53:58.844000,Mother,-87
2013-05-25 11:54:55.960000,Mother,-85
2013-05-25 11:54:56.465000,Wave Y,-99
2013-05-25 11:55:55.973000,Mother,-87
2013-05-25 11:55:59.245000,Wave Y,-99
2013-05-25 11:56:58.889000,Mother,-88
2013-05-25 11:59:01.043000,Mother,-86
2013-05-25 12:00:58.419000,Mother,-84
2013-05-25 12:01:55.912000,Mother,-86
2013-05-25 12:02:58.491000,Mother,-95
2013-05-25 12:03:55.569000,Mother,-85
